Using device: mps
Using device: mps

=== Training SAC on HalfCheetah-v5 (seed=0) ===
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 1: Reward = -253.87
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 2: Reward = -267.89
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 3: Reward = -191.22
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 4: Reward = -192.56
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 5: Reward = -200.16
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 6: Reward = -201.62
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 7: Reward = -154.77
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 8: Reward = -204.69
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 9: Reward = -168.79
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 10: Reward = -147.17
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 11: Reward = -183.67
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 12: Reward = -158.34
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 13: Reward = -177.54
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 14: Reward = -170.22
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 15: Reward = -133.53
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 16: Reward = -133.67
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 17: Reward = -182.55
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 18: Reward = -168.33
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 19: Reward = -146.98
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 20: Reward = -122.42
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 21: Reward = -151.05
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 22: Reward = -126.75
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 23: Reward = -116.20
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 24: Reward = -148.16
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 25: Reward = -85.72
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 26: Reward = -85.80
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 27: Reward = -144.01
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 28: Reward = -103.78
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 29: Reward = -102.13
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 30: Reward = -41.15
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 31: Reward = -13.60
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 32: Reward = -64.09
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 33: Reward = -33.02
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 34: Reward = -20.77
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 35: Reward = -63.26
